"ID","Title","Status","Target","Content","Media URL","Created At"
"post-1","PureLife Organics — Cortisol Belly","approved","Solo ecommerce founders doing $2-10M/year","""Doing This Deflated My Cortisol Belly.""

This brand is printing.

PureLife Organics. 156 active ads. 41 days on this exact ad.

UGC. Woman lifting her shirt. No fancy fucking studio. Just a real person with a real gut problem.

Nobody knows what cortisol is but it sounds scientific enough to stop the scroll. ""Deflated"" hits different than ""lose weight."" It's visual. You can feel it.

They niched down HARD. Stressed women 40+ who've tried everything. That specificity is why their CPMs are stupid low.

Cortisol is the new gut health. Test this angle yesterday.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/purelife_cortisol.mp4","2026-03-08T00:17:18.287Z"
"post-2","Happy Mammoth — Hormone Harmony","approved","Solo ecommerce founders doing $2-10M/year","""At 52, I got my figure back.""

This brand is printing.

Happy Mammoth. 89 active ads. Just hit me with this line.

Not some bullshit before/after. A real woman saying she feels like herself again.

That line does more work than 99% of supplement ads. It's not selling hormones or botanicals. It's selling getting your life back.

Menopause market is fucking massive. Most brands talk about ingredients.

This brand talks about transformation.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/happy_mammoth.jpg","2026-03-08T00:17:18.288Z"
"post-3","O Positiv / URO — Vaginal Health Vitamin","approved","Solo ecommerce founders doing $2-10M/year","""I used to avoid sex. Now I want him all the time.""

This brand is printing.

O Positiv. 67 active ads. That's the ad copy. On Facebook. And it's working.

O Positiv went straight for the emotional outcome. Better sex life. Everyone else in this space says ""supports vaginal pH balance."" Nobody gives a shit.

UGC selfie. Woman holding the product. Bright pink bottle. Looks like a friend recommending it, not a brand selling you something.

Women's health is wide open for brands willing to talk like real people. If your ad copy reads like a doctor's note, you've already lost.

NOW GO FUCKING PRINT 🔥","/media/opositiv_vitamin.jpg","2026-03-08T00:17:18.288Z"
"post-4","Purely Nutrient — Black Seed Oil / Parasite Hook","approved","Solo ecommerce founders doing $2-10M/year","""Watch what happens when you put a parasite in contact with Oregano Oil.""

This brand is printing.

Purely Nutrient. 234 active ads. Microscope footage of a parasite dying. On your feed. While you're eating breakfast.

You can't NOT watch it. And once you're watching a parasite squirm, you're buying whatever kills it.

Purely Nutrient isn't even selling oregano oil. They're selling black seed oil. The parasite video is just the hook. Bait and switch but make it educational.

Parasite cleanse market is blowing up. People are convinced they have parasites.

Smart brands are riding that wave.

NOW GO FUCKING PRINT 🔥","/media/purely_nutrient_blackseed.mp4","2026-03-08T00:17:18.288Z"
"post-5","Dr. Blane Schilling — Surgeon Contrarian Authority","approved","Solo ecommerce founders doing $2-10M/year","""For years, I believed it was the right thing to do...""

This brand is printing.

Dr. Blane Schilling. 43 active ads. 200+ knee replacements. Full scrubs. Hospital hallway.

And he's telling you surgery might not be the answer.

A surgeon saying NOT to get surgery. Your brain short-circuits. Goes against everything you'd expect.

Authority marketing at its peak. Real doctor. Real setting. Contrarian angle. Impossible to ignore.

After that hook the ad doesn't even need to be good. You're already thinking ""wait, what does he recommend instead?""

Selling a joint supplement without doctor authority content? One hand tied behind your back.

NOW GO FUCKING PRINT 🔥","/media/dr_blane_joint.jpg","2026-03-08T00:17:18.288Z"
"post-6","SereneSkincare — PDRN Patches","approved","Solo ecommerce founders doing $2-10M/year","""I'm 42 and people think I'm in my early 30s.""

This brand is printing.

SereneSkincare. PDRN patches.

Testimonial lead. Simple.

PDRN. Most people have never heard of it. It's not retinol. It's not collagen. It's NEW. And ""new"" in skincare is crack for women scrolling Facebook at 10pm.

Patches as delivery? Genius. Not another cream or serum. A patch feels medical. Feels like it actually does something.

Anti-aging is a $60B market and crowded as hell. But find a novel mechanism people haven't seen 10,000 times and you carve out space fast.

NOW GO FUCKING PRINT 🔥","/media/serene_skincare.mp4","2026-03-08T00:17:18.288Z"
"post-7","FemiClear — Taboo Health Niche","approved","Solo ecommerce founders doing $2-10M/year","""Before you panic... watch this.""

This brand is printing.

FemiClear. 145 active ads. 34 days running. Selling a herpes treatment. On Facebook. With a woman in a lab coat.

Most brands wouldn't touch this. That's exactly why FemiClear is crushing it. Zero creative competition because everyone's too scared.

That hook is doing therapy and selling product at the same time.

The doctor figure removes the shame. Makes it medical, not personal. The person seeing this ad has been too embarrassed to go to the pharmacy. And here's a solution in their feed that looks legitimate.

Taboo health niches are goldmines. Less competition. Desperate buyers. High LTV because they NEED the product.

NOW GO FUCKING PRINT 🔥","/media/femiclear.mp4","2026-03-08T00:17:18.288Z"
"post-8","Savanna Skin — Tanning Gummies","approved","Solo ecommerce founders doing $2-10M/year","This brand is printing.

Woman laying in bed, tanned, cheeky text on her back.

Doesn't feel like an ad. Feels like a meme your friend sent you.

Savanna Skin cracked the code. In a feed full of ""CLINICAL STUDIES SHOW"" bullshit, this looks like entertainment.

Entertainment gets engagement. Engagement gets sales.

Perfect DTC product. Consumable. Repeat purchase. Before/after content makes itself.

Nobody's scrolling past ""gummies that make you tan."" Too weird NOT to click.

NOW GO FUCKING PRINT 🔥","/media/savanna_skin.jpg","2026-03-08T00:17:18.288Z"
"post-9","Emunah Beauty — Hair Vitamins Specialist Listicle","approved","Solo ecommerce founders doing $2-10M/year","""I've tested hundreds of hair vitamins. Here are the top 5 that actually work.""

This brand is printing.

Emunah Beauty. Hair vitamins. But the ad isn't from the brand — it's from a ""Certified Trichologist & Scalp Specialist.""

Doesn't feel like an ad. Feels like expert advice. You trust it immediately.

Clean creative. Split layout — problem on the left, solution on the right. Your eye goes straight to ""which ones made the cut?""

This isn't even Emunah's page running the ad. It's the specialist's page. Brand pays the expert, expert recommends the product, customer trusts the expert. Everyone wins.

Not running a ""specialist reviews top 5"" format? Test it this week. Works across every health niche.

NOW GO FUCKING PRINT 🔥","/media/emunah_hair.jpg","2026-03-08T00:17:18.288Z"
"post-10","Try UltimaPeak — Shilajit/Ashwagandha/Sea Moss Stack","approved","Solo ecommerce founders doing $2-10M/year","This brand is printing.

POV hook looking down at your feet in the bathroom. You have no idea what's coming.

That's the point.

UltimaPeak found the three most hyped men's health ingredients on TikTok and put them in one gummy. That's not innovation — that's reading the room.

""See results in 6-8 weeks."" Under-promise. Guys feel something in 2 weeks, think it's a miracle.

That's how you get organic reviews and repeat orders.

Trend-jack ingredients while they're hot. Don't invent anything. Combine what's already working.

NOW GO FUCKING PRINT 🔥","/media/ultimapeak.mp4","2026-03-08T00:17:18.288Z"
"post-11","Better Performance — Organ Supplements","review","Solo ecommerce founders doing $2-10M/year","""Your body is missing what modern diets removed.""

This brand is printing.

Better Performance. 298 active ads. Beef liver. Heart. Marrow. Pancreas. In a capsule.

No fancy ingredients. No proprietary blend bullshit. Just freeze-dried organs your great-grandfather ate every week.

The angle is ancestral. ""Modern diets broke you. This fixes it."" That framing turns a $15 bottle of organ pills into a $50 identity purchase.

100,000+ men buying. Retargeting with ""Still Thinking?"" at 50% off. They know their audience takes 3-4 touches.

Men's supplement market is shifting hard toward ancestral health. Seed oils are the villain. Organ meats are the hero.

If you're not in this space yet, someone else is taking your customers.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/better_performance_organs.jpg","2026-03-08T00:17:18.288Z"
"post-12","ARMRA — Colostrum Revolution","review","Solo ecommerce founders doing $2-10M/year","""400+ bioactive nutrients that work like a blueprint for your body.""

This brand is printing.

ARMRA Colostrum. 187 active ads. 20,000+ five-star reviews. Millions of customers. And they're still spending heavy on Facebook.

Colostrum was a niche biohacker thing 2 years ago. ARMRA turned it mainstream.

How? They don't sell colostrum. They sell ""tapping into your extraordinary."" The transformation. Not the ingredient.

They stacked every trust signal: research publications, elite athletes, ""insiders everywhere."" You feel like you're late to the party.

This is what happens when a supplement brand acts like a luxury brand. Premium positioning. Premium price. Premium retention.

Colostrum is the new collagen. First movers are printing.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/armra_colostrum.mp4","2026-03-08T00:17:18.288Z"
"post-13","Touchstone Essentials — Super Green Juice","review","Solo ecommerce founders doing $2-10M/year","""Stop letting expensive veggies rot in the fridge.""

This brand is printing.

Touchstone Essentials. 44 organic superfoods. One scoop. 30 seconds.

That opening line is doing all the work. Every person reading it has a bag of wilted spinach in their crisper right now. Instant guilt. Instant relatability.

They're not selling greens powder. They're selling the version of you that actually eats healthy without the effort.

50,000+ customers. And the genius? Subscription model on a consumable powder. You use it every morning. You never cancel.

Greens powder is a $3B market growing 8% annually. The winners aren't the ones with the most superfoods. They're the ones with the best hook.

""Your veggies are rotting"" beats ""44 superfoods"" every single time.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/touchstone_greens.jpg","2026-03-08T00:17:18.288Z"
"post-14","Mars Men — Testosterone Gummies","review","Solo ecommerce founders doing $2-10M/year","""Fuel testosterone. Flatten belly. Feel invincible.""

This brand is printing.

Mars Men. Three promises in one sentence. That's the entire ad.

Most testosterone brands write a novel about ashwagandha studies and free testosterone levels. Nobody cares. Men want to feel like men again.

""Flatten belly"" is sneaky brilliant. It's not a testosterone benefit. It's a weight loss benefit hiding inside a testosterone ad. Two audiences, one product.

50% off plus free gifts. Aggressive offer. They're buying customers at a loss knowing the subscription math works out by month 3.

Men's health supplements are a bloodbath right now. The brands winning aren't the most scientific. They're the most direct.

Three words that hit three pain points. That's the formula.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/mars_men_testosterone.mp4","2026-03-08T00:17:18.288Z"
"post-15","Amy Harris / TheSpa Dr — Brain Fog Perimenopause","review","Solo ecommerce founders doing $2-10M/year","""Stress doesn't make you forget words mid-sentence.""

This brand is printing.

Amy Harris selling Hormone Balance Blend for perimenopause brain fog.

Read that hook again. Every woman over 40 who's blanked on a word in a meeting just felt her stomach drop.

She doesn't open with the product. She opens with the fear. ""Am I losing it? Is this early dementia?"" That's what women are actually googling at 2am.

Then the reframe: ""It's not you. It's your hormones swinging."" Relief. Now you're ready to buy.

Subscription model. ""That's why I chose the subscription."" Social proof baked into the CTA.

Perimenopause is a $600B market that most brands are too scared to talk about directly. The ones who do? Printing.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/amy_harris_brainfog.mp4","2026-03-08T00:17:18.288Z"
"post-16","Redmond Re-Lyte — Electrolyte Immunity","review","Solo ecommerce founders doing $2-10M/year","""Everyday wellness starts with better ingredients.""

This brand is printing.

Redmond Re-Lyte. Electrolytes meets immunity. Two categories in one product.

Most electrolyte brands fight over the fitness crowd. Re-Lyte said fuck that and went after the wellness crowd instead.

Same product format. Completely different positioning. ""Boost your body's natural immune response"" hits different than ""recover faster after your workout.""

They're running 23 days straight on this creative. In supplement advertising, that's a winner.

The real play here: category bridging. Take a commodity product (electrolytes) and attach it to a growing category (immunity). Suddenly your $25 tub competes with $45 immune supplements instead of $15 electrolyte packets.

Positioning is the moat. Not ingredients.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/redmond_relyte.jpg","2026-03-08T00:17:18.288Z"
"post-17","MaryRuth's via Glimja — Liquid Hair Vitamin","review","Solo ecommerce founders doing $2-10M/year","""Losing hair? Don't lose hope.""

This brand is printing.

MaryRuth's Hair Growth Multivitamin. Liquid form. Tastes like berries.

Three words that reframe the entire purchase: ""Don't lose hope."" Suddenly it's not a vitamin. It's emotional support in a bottle.

Liquid format is the unlock. Everyone's tired of swallowing horse pills. ""Liquid for optimal absorption"" gives a scientific reason. ""Tastes like berries"" removes the last objection.

Running 23 days on Facebook. Gummies and liquids are eating the capsule market alive in hair vitamins.

The hair supplement space is dominated by biotin pills that taste like chalk. Any brand that makes the experience enjoyable wins on retention.

Format innovation beats ingredient innovation. Every time.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/glimja_maryruth.jpg","2026-03-08T00:17:18.288Z"
"post-18","Forge Skin — Beef Tallow Men's Skincare","review","Solo ecommerce founders doing $2-10M/year","""12 out of 16 essential nutrients your skin needs. From beef tallow.""

This brand is printing.

Forge Skin. Beef tallow balm. For men.

Read that again. They're selling cow fat as premium skincare. And men are buying it.

The ancestral health movement created a new buying psychology: natural = masculine. Chemical = weak. Beef tallow fits perfectly into that worldview.

""Very few men know this..."" — exclusivity hook. Makes you feel like you're discovering a secret.

They don't compete with CeraVe or Jack Black. They compete with the idea that men shouldn't use ""products."" This IS different. It's meat-based. It's primal.

Men's skincare is a $30B market where 90% of brands look identical. Forge carved out a niche by making skincare feel like something a caveman would approve of.

Weird positioning wins when the market is boring.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/forge_skin_tallow.mp4","2026-03-08T00:17:18.288Z"
"post-19","Better Performance — Ancestral Stack Retargeting","review","Solo ecommerce founders doing $2-10M/year","""Still thinking? Up to 50% off.""

This brand is printing.

Better Performance again. But this time it's the retargeting ad that caught my eye.

Four words. ""Still thinking?"" Then 50% off. That's the entire top of the ad.

They already sold you on organ supplements with the first touch. Now they just need to close. No re-education. No features. Just the nudge.

Most brands waste their retargeting budget repeating the same pitch. Better Performance strips it down to pure urgency.

""Stock is limited."" Scarcity. ""Lock in your discount now."" Urgency. Two psychological triggers, zero fluff.

Your retargeting creative should be the opposite of your prospecting creative. First touch = education. Second touch = conversion.

If your retargeting looks like your TOF, you're burning money.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/better_performance_organs.jpg","2026-03-08T00:17:18.288Z"
"post-20","ARMRA — Premium Positioning Playbook","review","Solo ecommerce founders doing $2-10M/year","""The secret harnessed by elite athletes and insiders everywhere.""

This brand is printing.

ARMRA again. But zoom into the copy structure this time.

""Elite athletes."" ""Insiders everywhere."" ""Tap into your extraordinary."" This isn't supplement copy. This is luxury copy.

They list 7 benefit categories with scientific names: regenerative peptides, adaptogenic nutrients, mitochondrial regenerators. Nobody knows what those mean. That's the point.

Complexity signals efficacy. If it sounds like science, it must work. If it sounds simple, it's probably just another vitamin.

20,000+ reviews. Millions of customers. And they STILL lead with aspiration, not social proof.

Most brands at this scale get lazy and just run ""bestseller"" ads. ARMRA keeps selling the dream.

That's the difference between a supplement company and a supplement brand.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/armra_colostrum.mp4","2026-03-08T00:17:18.288Z"
"post-21","Alpha Lion — Superhuman Pre-workout","review","Solo ecommerce founders doing $2-10M/year","""They told me I'd never lift again after my accident.""

This brand is printing.

Alpha Lion Superhuman. 167 active ads. One of the most aggressive pre-workout brands on Facebook.

UGC testimonial from someone who overcame injury. That's not selling a pre-workout — that's selling hope.

Most supplement brands focus on ingredients. Alpha Lion sells transformation stories.

The fitness market is oversaturated. But injury recovery? That's a blue ocean with desperate buyers who'll pay premium.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/alpha_lion_superhuman.mp4","2026-03-08T00:17:18.288Z"
"post-22","Athletic Greens — AG1 Mainstream Push","review","Solo ecommerce founders doing $2-10M/year","""I replaced my entire supplement cabinet with this one drink.""

This brand is printing.

Athletic Greens AG1. 234 active ads. They're everywhere — podcasts, YouTube, Facebook.

Simple before/after: messy cabinet vs. one green drink. Visual storytelling at its peak.

AG1 cracked the code on positioning. It's not a greens powder — it's a ""nutritional insurance policy.""

Premium pricing ($99/month) but they've normalized it through repetition and authority marketing.

When you see a brand everywhere, they're printing. AG1 is the template.

NOW GO FUCKING PRINT 🔥

2/2

Want to find ads like this instantly? 

I use @GetHookdAI to spy on 70M+ winning ads. They scrape 110,000+ brands daily on Facebook.

→ See what's converting in your niche
→ Swipe proven hooks & angles  
→ Skip months of trial & error

Try it free: gethookd.ai","/media/athletic_greens_ag1.jpg","2026-03-08T00:17:18.288Z"
